participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,correct_button,response_window,inter_time_interval,late_response,response_time
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,0,1,500,500,0,285.3320837020874
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,1,1,490,500,0,269.04892921447754
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,1,1,490,500,0,261.7999315261841
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,2,1,480,500,0,242.9659366607666
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,2,1,480,500,0,258.870005607605
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,3,1,460,500,0,224.7459888458252
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,3,1,460,500,0,264.6489143371582
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,4,1,420,500,0,244.38202381134033
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,4,1,420,500,0,260.64109802246094
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,5,1,340,500,0,266.1219835281372
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,5,1,340,500,0,280.85005283355713
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,6,0,180,500,1,274.880051612854
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,6,0,180,500,1,245.41902542114258
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,7,0,220,500,1,231.12797737121582
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,7,0,220,500,1,253.7909746170044
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,8,1,260,500,0,225.4999876022339
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,8,1,260,500,0,255.58197498321533
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,9,0,250,500,1,273.73409271240234
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,9,0,250,500,1,250.3880262374878
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,10,1,290,500,0,266.7829990386963
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,10,1,290,500,0,237.79404163360596
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,11,1,280,500,0,257.9519748687744
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,11,0,280,500,1,127.82299518585205
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,12,1,270,500,0,257.3080062866211
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,12,0,320,500,1,135.483980178833
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,13,0,250,500,1,266.6829824447632
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,13,1,360,500,0,270.2521085739136
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,14,0,,,,
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,14,1,350,500,0,271.1740732192993
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,15,0,290,500,1,N/A
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,15,1,340,500,0,261.66999340057373
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,16,0,,,,
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,16,0,320,500,1,117.79499053955078
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,17,1,330,500,0,281.3209295272827
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Right,17,1,360,500,0,267.5650119781494
