participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,flanking_cue,response_window,response_time,first_button,correct_button,trial_type,second_button,late_response,displayed_cue
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,23,A,580,380.96100091934204,NO,0,CONGRUENT,YES,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,24,C,670,316.1580562591553,YES,1,INCONGRUENT,NO,0,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,25,A,660,513.8660073280334,NO,1,INCONGRUENT,YES,0,C
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,26,D,650,597.0759987831116,YES,1,INCONGRUENT,NO,0,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,27,C,630,693.867027759552,YES,1,INCONGRUENT,NO,1,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,28,A,620,470.3189730644226,NO,1,INCONGRUENT,YES,0,C
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,29,D,610,367.48695373535156,YES,1,INCONGRUENT,NO,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,30,C,600,312.8080368041992,NO,0,INCONGRUENT,YES,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,31,C,620,512.0949745178223,YES,0,CONGRUENT,NO,0,C
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,32,C,660,642.2330141067505,NO,1,CONGRUENT,YES,0,C
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,33,B,640,899.7029662132263,NO,1,INCONGRUENT,YES,1,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,34,D,650,549.5530366897583,YES,0,CONGRUENT,NO,0,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,35,A,690,324.4439959526062,NO,0,CONGRUENT,YES,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,36,A,730,468.0129885673523,YES,1,CONGRUENT,NO,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,37,D,630,N/A,NO,0,INCONGRUENT,NO,1,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,38,C,710,721.1880087852478,YES,1,INCONGRUENT,NO,1,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,39,C,720,581.5169811248779,NO,1,CONGRUENT,YES,0,C
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,40,C,700,756.0699582099915,YES,1,INCONGRUENT,NO,1,A
