participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,position_is_top,correct_button,response_window,late_response,response_time
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,11,0,1,1100,0,987.7749681472778
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,11,0,0,940,0,544.376015663147
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,11,1,0,780,0,434.42195653915405
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,12,0,1,2310,0,1677.365005016327
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,12,0,1,1090,0,989.8989796638489
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,12,1,1,980,0,381.72096014022827
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,12,1,1,820,0,684.1080188751221
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,13,0,1,2300,0,1304.8030138015747
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,13,0,1,1080,0,927.1720051765442
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,13,0,1,970,0,511.54303550720215
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,13,0,1,810,0,473.81800413131714
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,14,1,1,2290,0,1289.023995399475
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,14,1,0,1060,1,1283.3009958267212
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,14,1,1,960,0,418.9950227737427
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,14,0,0,800,0,426.1320233345032
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,15,0,1,2270,0,1193.9079761505127
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,15,1,1,1100,0,825.3070116043091
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,15,1,0,940,0,469.1600203514099
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,15,0,1,840,0,493.5449957847595
