participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,response_time,response_window,trial_accuracy,position_is_top,correct_button,late_response
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,14,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,14,431.12701177597046,440,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,15,364.33297395706177,630,False Alarm,0,0,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,15,572.6810097694397,360,Miss,1,0,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,16,0,670,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,16,0,400,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,17,0,670,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,17,283.5019826889038,400,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,18,0,670,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,18,416.8049693107605,390,Miss,1,0,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,19,441.6849613189697,670,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,19,0,430,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,20,390.5419707298279,660,False Alarm,0,0,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,20,224.40403699874878,430,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,21,484.01397466659546,700,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,21,0,420,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,22,0,690,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,22,296.7259883880615,420,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,23,0,690,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,23,443.1900382041931,410,Miss,1,0,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,24,368.2520389556885,690,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,24,500.296950340271,450,Miss,1,0,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,25,0,680,Correct Rejection,0,1,N/A
